form_id,original_row_id,event,human_score,human_approval_pct,human_is_approved,score_avg_all,status,llm_is_approved,score_diff_abs,decision_agreement
FV_1_A,34,PersonX always buy,100.0,100.0,True,92.33,APPROVED,True,7.670000000000002,True
FV_1_A,365,PersonX breaks ranks,100.0,100.0,True,96.67,APPROVED,True,3.3299999999999983,True
FV_1_A,416,PersonX burns the food,55.0,100.0,False,96.67,APPROVED,True,41.67,False
FV_1_A,501,PersonX buys PersonY's own shoes,90.0,100.0,True,96.67,APPROVED,True,6.670000000000002,True
FV_1_A,464,PersonX buys PersonY's supplies,100.0,100.0,True,96.67,APPROVED,True,3.3299999999999983,True
FV_1_A,1033,PersonX buys some things,100.0,100.0,True,96.67,APPROVED,True,3.3299999999999983,True
FV_1_A,1536,PersonX dresses to kill,100.0,100.0,True,95.67,APPROVED,True,4.329999999999998,True
FV_1_A,1673,PersonX eats PersonX's gun,100.0,100.0,True,95.67,APPROVED,True,4.329999999999998,True
FV_1_A,1930,PersonX finds money,100.0,100.0,True,95.67,APPROVED,True,4.329999999999998,True
FV_1_A,2198,PersonX gets PersonX's act together,100.0,100.0,True,93.33,APPROVED,True,6.670000000000002,True
FV_1_A,3435,PersonX gets great seats,100.0,100.0,True,95.67,APPROVED,True,4.329999999999998,True
FV_1_A,3743,PersonX gets ready to leave,95.0,100.0,True,95.67,APPROVED,True,0.6700000000000017,True
FV_1_A,4174,PersonX gives PersonX's sister ___,100.0,100.0,True,95.67,APPROVED,True,4.329999999999998,True
FV_1_A,4358,PersonX gives PersonY a peck,100.0,100.0,True,95.67,APPROVED,True,4.329999999999998,True
FV_1_A,5195,PersonX gives ___ to the world,100.0,100.0,True,93.33,APPROVED,True,6.670000000000002,True
FV_1_A,6214,PersonX kills in PersonY accident,90.0,100.0,True,92.33,APPROVED,True,2.3299999999999983,True
FV_1_A,6381,PersonX loses all PersonX's money,0.0,0.0,False,95.67,APPROVED,True,95.67,False
FV_1_A,7083,PersonX pays well,100.0,100.0,True,96.67,APPROVED,True,3.3299999999999983,True
FV_1_A,7289,PersonX pulls PersonY closer,100.0,100.0,True,96.67,APPROVED,True,3.3299999999999983,True
FV_1_A,7356,PersonX pulls a face,95.0,100.0,True,96.67,APPROVED,True,1.6700000000000017,True
FV_1_A,7729,PersonX sees how the land lies,100.0,100.0,True,96.67,APPROVED,True,3.3299999999999983,True
FV_1_A,7983,PersonX spends ___ in prison,75.0,100.0,True,92.33,APPROVED,True,17.33,True
FV_1_A,8106,PersonX sticks the knife in ___,100.0,100.0,True,97.67,APPROVED,True,2.3299999999999983,True
FV_1_A,8859,PersonX takes ___ of one,100.0,100.0,True,95.0,APPROVED,True,5.0,True
FV_1_A,9314,PersonX watches the storm,100.0,100.0,True,93.33,APPROVED,True,6.670000000000002,True
FV_1_B,150,PersonX bases upon data,100.0,100.0,True,96.67,APPROVED,True,3.3299999999999983,True
FV_1_B,199,PersonX beats the cancer,100.0,100.0,True,93.33,APPROVED,True,6.670000000000002,True
FV_1_B,352,PersonX burns PersonX's bridges,100.0,100.0,True,93.33,APPROVED,True,6.670000000000002,True
